OBJECTID,Shape_Length,Shape_Area,F_AREA,longitude,latitude
73,106101.919267962960000,703071293.239702700000000,703071293.239703060000000,-81.504793163070005,24.122598664119963
74,105761.162989171610000,698223990.011570220000000,698223990.011569980000000,-81.504802594320395,25.122485860090851
75,103620.691847053240000,667672437.084239360000000,667672437.084239010000000,-87.254802594708380,30.122485860269361
76,105048.749258660110000,688121777.859456900000000,688121777.859457020000000,-97.004802594597834,26.872485860207977
77,104075.050004689780000,674195954.039153100000000,674195954.039152980000000,-94.254802594640466,29.122485859823485
78,105358.783164426310000,692529958.649066570000000,692529958.649067040000000,-83.004802594419871,26.122485860073926
79,105358.783383999090000,692529961.581402780000000,692529961.581403020000000,-83.254802594610865,26.122485860091167
80,104624.166690145230000,682061829.738537550000000,682061829.738538030000000,-83.254802594567153,27.872485860224309
81,103962.730061615220000,672584233.430852650000000,672584233.430853010000000,-85.254802594712189,29.372485859997287
82,103152.538620965350000,662639348.452457550000000,662639348.452458020000000,-87.504791468754831,29.624055911514318
83,103855.027805137290000,666756200.003070710000000,666756200.003070950000000,-88.005224206317408,29.623280277653041
84,63446.415559551991000,132414863.702450500000000,132414863.702450010000000,-92.233337322658031,29.525204823439942
85,103802.611998938810000,671319375.192455290000000,671319375.192455050000000,-89.504883941060655,28.623602976619328
86,103620.691828521430000,667672436.885482670000000,667672436.885483030000000,-86.754802594910316,30.122485860025701
87,105859.819200729120000,699614573.726459500000000,699614573.726459980000000,-83.754802594600420,24.872485860161543
88,106027.828532010350000,702115526.521311400000000,702115526.521311040000000,-82.254793150475180,24.122768276773133
89,106054.830542856800000,702356079.260549310000000,702356079.260548950000000,-82.254802594872970,24.372485860059182
90,101274.648263652290000,658850363.220272780000000,658850363.220273020000000,-86.006213310207116,30.120951509514999
91,96016.117573190553000,542916982.683220150000000,542916982.683220030000000,-83.767928853300347,29.852408712906737
92,105761.163079551200000,698223991.148864030000000,698223991.148864030000000,-82.504802594492332,25.122485860152132
93,75356.107030217536000,298651753.575261830000000,298651753.575262010000000,-84.478219181805741,29.811793745092302
94,103962.729960103080000,672584232.116374490000000,672584232.116374020000000,-93.754802594669499,29.372485860261651
95,103849.566887321590000,670959722.302852030000000,670959722.302852030000000,-84.004802594346103,29.622485860213626
96,103218.655421170140000,663371531.394306780000000,663371531.394307020000000,-87.004785813775698,29.623915801659816
97,104075.050015583080000,674195954.136185170000000,674195954.136185050000000,-92.004802594390398,29.122485859918378
98,104186.531632561920000,675794860.479600670000000,675794860.479601030000000,-94.754802594541971,28.872485859802119
99,104980.515750171250000,687867735.172755120000000,687867735.172755000000000,-96.754890134516074,26.123346516056245
100,104297.179411151980000,677380924.384676340000000,677380924.384675980000000,-92.004802594631968,28.622485859963351
101,104186.531582484850000,675794859.680082200000000,675794859.680081960000000,-92.254802594375008,28.872485859998758
102,104186.531738987950000,675794861.753959890000000,675794861.753960010000000,-90.504802594693899,28.872485860112434
103,55894.130028276573000,88950691.811707452000000,88950691.811707497000000,-87.476676368067274,30.266746772759461
104,105859.819339548090000,699614575.577434180000000,699614575.577433940000000,-81.504802594314825,24.872485860255985
105,104838.072274105740000,685117778.212362170000000,685117778.212362050000000,-83.504802594521692,27.372485859876761
106,104186.531642212590000,675794860.421710130000000,675794860.421710010000000,-94.004802594607952,28.872485859731427
107,104838.072138007500000,685117776.413689260000000,685117776.413689020000000,-96.754802594444925,27.372485860352231
108,105358.783152602610000,692529958.521854400000000,692529958.521854040000000,-82.504802594677273,26.122485860145449
109,104075.050076954610000,674195955.011934280000000,674195955.011934040000000,-93.754802594659779,29.122485860113148
110,105460.548881563100000,693973177.384134530000000,693973177.384135010000000,-83.254802594680811,25.872485860053917
111,103735.555732848780000,669322447.544415710000000,669322447.544415950000000,-87.254802594771675,29.872485859939204
112,75348.073430974720000,204486217.989538340000000,204486217.989538010000000,-89.203573974517397,29.388051198753423
113,80171.455919177737000,309097476.193098720000000,309097476.193099020000000,-81.313274357081411,25.591008786189455
114,104943.812104903690000,686626281.731150980000000,686626281.731150980000000,-82.754802594909506,27.122485859926435
