OBJECTID,Shape_Length,Shape_Area
48,209365.419672483370000,2731588718.001389500000000
49,209365.419831612150000,2731588722.258779500000000
50,137260.987492710640000,447377106.933223660000000
51,23827.120171740469000,24965608.749500837000000
52,166834.979737690880000,1301769682.092468700000000
53,202617.049697745180000,2658626433.223217500000000
54,208915.405766427230000,2698981961.245046100000000
55,205768.675867117130000,2641465297.667697900000000
56,211684.867884182750000,2639978785.629530000000000
57,205639.755408901780000,2637678018.061815300000000
58,205703.669768641300000,2640667880.665390500000000
59,205821.617576858930000,2642981761.612757700000000
60,205869.987159825370000,2643820459.891659700000000
61,205868.218119484290000,2643784151.092483500000000
62,205866.313688131840000,2643730043.337374200000000
63,205864.544348524740000,2643699276.021255500000000
64,205862.640446141190000,2643639632.963131000000000
65,179157.544307063480000,1926859557.311466000000000
66,137587.388171901400000,748550678.653447870000000
67,208932.871318491730000,2719214404.145329500000000
68,208932.871416511420000,2719214400.538565600000000
69,208932.871296657890000,2719214404.645845900000000
70,208932.871425232650000,2719214403.859489000000000
71,143272.601304347630000,514573280.019976560000000
72,93302.831280482147000,325580827.898230250000000
73,168951.472623890560000,1511045124.934808300000000
74,206455.283388815030000,2638544228.959866500000000
75,208493.745929935100000,2706633628.629071200000000
76,208493.813002026170000,2706642810.155656300000000
77,208493.745930245180000,2706633628.808248500000000
78,208493.812789833520000,2706639736.221744500000000
79,208493.745855254350000,2706633626.878711700000000
80,208493.813032427050000,2706641404.069947700000000
81,208493.745821720750000,2706633626.136787400000000
82,208493.812319770780000,2706642352.901897400000000
83,208493.745911013740000,2706633628.395523500000000
84,208433.609379981320000,2688961576.662373500000000
85,221848.860928956040000,2612534136.019075400000000
86,178139.513620385780000,1922404426.434092800000000
87,134102.442351593230000,716557829.037269590000000
88,208523.725439860490000,2648543777.845633500000000
89,208493.745911694540000,2706633628.105311400000000
90,208493.745991205910000,2706633630.405843700000000
91,208493.745863558810000,2706633627.133403300000000
92,208493.745899956670000,2706633628.298197700000000
93,150985.448466336330000,798479734.661182640000000
94,111817.725256015460000,558146944.684162860000000
95,194485.537400504220000,2320324797.118134000000000
96,208048.037510032240000,2693856314.593205500000000
97,208047.970993020690000,2693847192.626559300000000
98,208048.037419969800000,2693853289.532446900000000
99,208047.971039330940000,2693847193.779908700000000
100,208048.037740436380000,2693854925.537110800000000
101,200889.286492620890000,2425561592.893370600000000
102,180305.551057337750000,1076490784.711896900000000
103,112646.513569000640000,349801529.281726540000000
104,149410.088530117620000,918797160.119222400000000
105,156761.409281501110000,1371264114.544510100000000
106,271884.598151731830000,1484535417.703710100000000
107,204886.258147630140000,2616937030.220099400000000
108,178259.577479686470000,1901517914.948960100000000
109,133878.640897201140000,709907094.269591090000000
110,210062.846301155480000,2635219367.236913700000000
111,208048.037150548770000,2693859405.339856100000000
112,208047.970877163020000,2693847192.940104000000000
113,208047.970967868900000,2693847190.415581200000000
114,208047.970952338860000,2693847189.295515100000000
115,200008.666090616900000,1383694828.633198000000000
116,33112.761278096252000,51370755.452977963000000
117,44837.033710139556000,70621799.226873204000000
118,127326.835585958050000,808027458.108593820000000
119,149530.170399408610000,1363319219.051063300000000
120,148824.448740289550000,1348232948.395333300000000
121,124734.325516161770000,523070254.638999700000000
122,108120.341534111110000,319365262.426692070000000
123,4090.832976175713600,969297.124491210440000
124,93014.395503089836000,338729658.779778600000000
125,205161.374938692900000,2588093111.305028400000000
126,207596.648750996920000,2659224029.117196600000000
127,204331.960406148920000,2602759852.282444500000000
128,204399.231819798650000,2603426925.919531300000000
129,204497.848285891790000,2605954762.015173000000000
130,207544.330338933620000,2628506904.278413300000000
131,203917.962446700460000,2540707304.129062200000000
132,144098.929990911510000,837977342.777720930000000
133,173761.579514285960000,1659150084.521775200000000
134,206691.243655082740000,2651863444.634307400000000
135,195896.658982340650000,1743171040.046259600000000
136,5309.009904897836300,1196387.265281598800000
137,46267.975329022287000,57617953.977750905000000
138,147579.633188375970000,1258412328.462714200000000
139,160744.730870485160000,1318222813.307693000000000
140,159956.574306934400000,1472276140.336558800000000
141,178570.992912441990000,1876820084.621321400000000
142,184302.951380174900000,2140268886.772444700000000
143,167667.832448497180000,1706374726.989040600000000
144,100646.993695099970000,436306836.089882730000000
145,110082.155485582220000,397899698.412752930000000
146,8852.870166362146800,3936383.315284555300000
